,COLOR,TIME,TIME_NUM,VALUE
865,PWRWNDONS,2029,2029,3.3672999999999997
469,PWRNGS_CC,2029,2029,4.856
337,PWRHYDROR_NDC,2029,2029,4.583370627
502,PWRNGS_CS,2029,2029,2.633
271,PWRHYDDAM,2029,2029,51.761358323235555
568,PWRSOLRTP,2029,2029,0.23681422761422222
601,PWRSOLRTP_ZNI,2029,2029,0.10500426094393694
172,PWRDSL,2029,2029,1.0219528667
205,PWRFOIL,2029,2029,0.37629029282000004
700,PWRSOLUPE,2029,2029,2.4528519906
304,PWRHYDROR,2029,2029,2.783709
602,PWRSOLRTP_ZNI,2030,2030,0.10521431810742084
503,PWRNGS_CS,2030,2030,2.633
338,PWRHYDROR_NDC,2030,2030,4.46482198938
470,PWRNGS_CC,2030,2030,4.856
635,PWRSOLUGE,2030,2030,13.265603683199998
701,PWRSOLUPE,2030,2030,2.6446083905999997
305,PWRHYDROR,2030,2030,2.61668646
74,PWRCOA,2030,2030,4.43049264
866,PWRWNDONS,2030,2030,3.3672999999999997
272,PWRHYDDAM,2030,2030,52.568409599999995
173,PWRDSL,2030,2030,1.0219528667
41,PWRBGS,2030,2030,0.004672907712
569,PWRSOLRTP,2030,2030,0.2754622289622222
206,PWRFOIL,2030,2030,0.37629029282000004
273,PWRHYDDAM,2031,2031,55.92384
207,PWRFOIL,2031,2031,0.37629029282000004
471,PWRNGS_CC,2031,2031,4.856
75,PWRCOA,2031,2031,3.46150575568
174,PWRDSL,2031,2031,1.0219528667
570,PWRSOLRTP,2031,2031,0.3241886334217805
339,PWRHYDROR_NDC,2031,2031,4.749810627
306,PWRHYDROR,2031,2031,2.783709
603,PWRSOLRTP_ZNI,2031,2031,0.10904015191288362
504,PWRNGS_CS,2031,2031,2.633
636,PWRSOLUGE,2031,2031,13.691807817599999
42,PWRBGS,2031,2031,0.0014524806120082279
867,PWRWNDONS,2031,2031,3.655925714285722
702,PWRSOLUPE,2031,2031,2.7243453269999995
175,PWRDSL,2032,2032,1.0219528667
208,PWRFOIL,2032,2032,0.37629029282000004
340,PWRHYDROR_NDC,2032,2032,5.224791689699999
505,PWRNGS_CS,2032,2032,2.633
274,PWRHYDDAM,2032,2032,58.36337544199778
571,PWRSOLRTP,2032,2032,0.36407667759378054
703,PWRSOLUPE,2032,2032,2.7243453269999995
43,PWRBGS,2032,2032,0.0010245641700000001
868,PWRWNDONS,2032,2032,3.655925714285722
76,PWRCOA,2032,2032,3.46150575568
307,PWRHYDROR,2032,2032,3.0620799
472,PWRNGS_CC,2032,2032,4.856
637,PWRSOLUGE,2032,2032,13.691807817599999
604,PWRSOLRTP_ZNI,2032,2032,0.11288193120778778
704,PWRSOLUPE,2033,2033,2.7243453269999995
506,PWRNGS_CS,2033,2033,2.633
869,PWRWNDONS,2033,2033,3.655925714285722
209,PWRFOIL,2033,2033,0.37629029282000004
341,PWRHYDROR_NDC,2033,2033,5.50978032732
308,PWRHYDROR,2033,2033,3.22910244
572,PWRSOLRTP,2033,2033,0.4039647217657805
473,PWRNGS_CC,2033,2033,4.856
44,PWRBGS,2033,2033,0.0010245641700000001
176,PWRDSL,2033,2033,1.0219528667
605,PWRSOLRTP_ZNI,2033,2033,0.11675211958398193
77,PWRCOA,2033,2033,3.46150575568
275,PWRHYDDAM,2033,2033,60.66512451345583
638,PWRSOLUGE,2033,2033,13.691807817599999
606,PWRSOLRTP_ZNI,2034,2034,0.12064453748403027
177,PWRDSL,2034,2034,1.0219528667
210,PWRFOIL,2034,2034,0.37629029282000004
573,PWRSOLRTP,2034,2034,0.44385276593778056
78,PWRCOA,2034,2034,3.46150575568
474,PWRNGS_CC,2034,2034,4.856
45,PWRBGS,2034,2034,0.004672907712
870,PWRWNDONS,2034,2034,3.655925714285722
507,PWRNGS_CS,2034,2034,2.633
309,PWRHYDROR,2034,2034,3.0620799
342,PWRHYDROR_NDC,2034,2034,5.224791689699999
276,PWRHYDDAM,2034,2034,61.516224
705,PWRSOLUPE,2034,2034,2.7243453269999995
639,PWRSOLUGE,2034,2034,13.691807817599999
640,PWRSOLUGE,2035,2035,19.3201078176
871,PWRWNDONS,2035,2035,3.655925714285722
574,PWRSOLRTP,2035,2035,0.48374081010978054
475,PWRNGS_CC,2035,2035,4.856
310,PWRHYDROR,2035,2035,2.783709
46,PWRBGS,2035,2035,0.004672907712
178,PWRDSL,2035,2035,1.0219528667
277,PWRHYDDAM,2035,2035,55.92384
706,PWRSOLUPE,2035,2035,2.7243453269999995
343,PWRHYDROR_NDC,2035,2035,4.749810627
211,PWRFOIL,2035,2035,0.37629029282000004
607,PWRSOLRTP_ZNI,2035,2035,0.12457176286749722
508,PWRNGS_CS,2035,2035,2.633
79,PWRCOA,2035,2035,4.43049264
80,PWRCOA,2036,2036,4.43049264
641,PWRSOLUGE,2036,2036,24.81069749180539
212,PWRFOIL,2036,2036,0.37629029282000004
575,PWRSOLRTP,2036,2036,0.5236288542817805
476,PWRNGS_CC,2036,2036,4.856
344,PWRHYDROR_NDC,2036,2036,4.46482198938
509,PWRNGS_CS,2036,2036,2.633
872,PWRWNDONS,2036,2036,3.655925714285722
608,PWRSOLRTP_ZNI,2036,2036,0.12857596930036305
179,PWRDSL,2036,2036,1.0219528667
278,PWRHYDDAM,2036,2036,52.568409599999995
47,PWRBGS,2036,2036,0.004672907712
311,PWRHYDROR,2036,2036,2.61668646
707,PWRSOLUPE,2036,2036,2.7243453269999995
510,PWRNGS_CS,2037,2037,2.633
48,PWRBGS,2037,2037,0.004672907712
477,PWRNGS_CC,2037,2037,4.856
180,PWRDSL,2037,2037,1.0219528667
213,PWRFOIL,2037,2037,0.37629029282000004
873,PWRWNDONS,2037,2037,3.655925714285722
279,PWRHYDDAM,2037,2037,55.92384
312,PWRHYDROR,2037,2037,2.783709
576,PWRSOLRTP,2037,2037,0.5635168984537806
345,PWRHYDROR_NDC,2037,2037,4.749810627
