,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR,GRUPO
489242,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2039,0.0,2039,DEMRESELCREF_HIG_URB,ELC
489243,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2040,0.0,2040,DEMRESELCREF_HIG_URB,ELC
489244,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2041,0.0,2041,DEMRESELCREF_HIG_URB,ELC
489245,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2042,0.0,2042,DEMRESELCREF_HIG_URB,ELC
489246,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2043,0.0,2043,DEMRESELCREF_HIG_URB,ELC
489247,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2044,0.0,2044,DEMRESELCREF_HIG_URB,ELC
489248,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2045,0.0,2045,DEMRESELCREF_HIG_URB,ELC
489249,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2046,0.0,2046,DEMRESELCREF_HIG_URB,ELC
489250,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2047,0.0,2047,DEMRESELCREF_HIG_URB,ELC
489251,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2048,0.0,2048,DEMRESELCREF_HIG_URB,ELC
489252,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2049,0.0,2049,DEMRESELCREF_HIG_URB,ELC
489253,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2050,0.0,2050,DEMRESELCREF_HIG_URB,ELC
489254,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2051,0.0,2051,DEMRESELCREF_HIG_URB,ELC
489255,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2052,0.0,2052,DEMRESELCREF_HIG_URB,ELC
489256,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2053,0.0,2053,DEMRESELCREF_HIG_URB,ELC
489257,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2054,0.0,2054,DEMRESELCREF_HIG_URB,ELC
489258,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2022,0.0,2022,DEMRESELCREF_HIG_URB,ELC
489259,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2023,0.0,2023,DEMRESELCREF_HIG_URB,ELC
489260,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2024,0.0,2024,DEMRESELCREF_HIG_URB,ELC
489261,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2025,0.0,2025,DEMRESELCREF_HIG_URB,ELC
489262,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2026,0.0,2026,DEMRESELCREF_HIG_URB,ELC
489263,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2027,0.0,2027,DEMRESELCREF_HIG_URB,ELC
489264,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2028,0.0,2028,DEMRESELCREF_HIG_URB,ELC
489265,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2029,0.0,2029,DEMRESELCREF_HIG_URB,ELC
489266,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2030,0.0,2030,DEMRESELCREF_HIG_URB,ELC
489267,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2031,0.0,2031,DEMRESELCREF_HIG_URB,ELC
489268,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2032,0.0,2032,DEMRESELCREF_HIG_URB,ELC
489269,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2033,0.0,2033,DEMRESELCREF_HIG_URB,ELC
489270,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2034,0.0,2034,DEMRESELCREF_HIG_URB,ELC
489271,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2035,0.0,2035,DEMRESELCREF_HIG_URB,ELC
489272,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2036,0.0,2036,DEMRESELCREF_HIG_URB,ELC
489273,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2037,0.0,2037,DEMRESELCREF_HIG_URB,ELC
489274,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2038,0.0,2038,DEMRESELCREF_HIG_URB,ELC
489275,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2039,0.0,2039,DEMRESELCREF_HIG_URB,ELC
489276,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2040,0.0,2040,DEMRESELCREF_HIG_URB,ELC
489277,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2041,0.0,2041,DEMRESELCREF_HIG_URB,ELC
489278,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2042,0.0,2042,DEMRESELCREF_HIG_URB,ELC
489279,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2043,0.0,2043,DEMRESELCREF_HIG_URB,ELC
489280,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2044,0.0,2044,DEMRESELCREF_HIG_URB,ELC
489281,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2045,0.0,2045,DEMRESELCREF_HIG_URB,ELC
489282,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2046,0.0,2046,DEMRESELCREF_HIG_URB,ELC
489283,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2047,0.0,2047,DEMRESELCREF_HIG_URB,ELC
489284,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2048,0.0,2048,DEMRESELCREF_HIG_URB,ELC
489285,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2049,0.0,2049,DEMRESELCREF_HIG_URB,ELC
489286,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2050,0.0,2050,DEMRESELCREF_HIG_URB,ELC
489287,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2051,0.0,2051,DEMRESELCREF_HIG_URB,ELC
489288,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2052,0.0,2052,DEMRESELCREF_HIG_URB,ELC
489289,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2053,0.0,2053,DEMRESELCREF_HIG_URB,ELC
489290,RE1,S101,DEMRESELCREF_HIG_URB,AGFHEA,2054,0.0,2054,DEMRESELCREF_HIG_URB,ELC
489291,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2022,0.0,2022,DEMRESELCREF_HIG_URB,ELC
489292,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2023,0.0,2023,DEMRESELCREF_HIG_URB,ELC
489293,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2024,0.0,2024,DEMRESELCREF_HIG_URB,ELC
489294,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2025,0.0,2025,DEMRESELCREF_HIG_URB,ELC
489295,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2026,0.0,2026,DEMRESELCREF_HIG_URB,ELC
489296,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2027,0.0,2027,DEMRESELCREF_HIG_URB,ELC
489297,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2028,0.0,2028,DEMRESELCREF_HIG_URB,ELC
489298,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2029,0.0,2029,DEMRESELCREF_HIG_URB,ELC
489299,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2030,0.0,2030,DEMRESELCREF_HIG_URB,ELC
489300,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2031,0.0,2031,DEMRESELCREF_HIG_URB,ELC
489301,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2032,0.0,2032,DEMRESELCREF_HIG_URB,ELC
489302,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2033,0.0,2033,DEMRESELCREF_HIG_URB,ELC
489303,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2034,0.0,2034,DEMRESELCREF_HIG_URB,ELC
489304,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2035,0.0,2035,DEMRESELCREF_HIG_URB,ELC
489305,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2036,0.0,2036,DEMRESELCREF_HIG_URB,ELC
489306,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2037,0.0,2037,DEMRESELCREF_HIG_URB,ELC
489307,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2038,0.0,2038,DEMRESELCREF_HIG_URB,ELC
489308,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2039,0.0,2039,DEMRESELCREF_HIG_URB,ELC
