,TECHNOLOGY,YEAR,VALUE
11773,PWRHYDDAM,2047,12.768
11774,PWRHYDDAM,2048,12.768
11775,PWRHYDDAM,2049,12.768
11776,PWRHYDDAM,2050,12.768
11777,PWRHYDDAM,2051,12.768
11778,PWRHYDDAM,2052,12.768
11779,PWRHYDDAM,2053,12.768
11780,PWRHYDDAM,2054,12.768
11781,PWRHYDROR,2022,0.6709999999999999
11782,PWRHYDROR,2023,0.669
11783,PWRHYDROR,2024,0.669
11784,PWRHYDROR,2025,0.669
11785,PWRHYDROR,2026,0.669
11786,PWRHYDROR,2027,0.669
11787,PWRHYDROR,2028,0.669
11788,PWRHYDROR,2029,0.669
11789,PWRHYDROR,2030,0.669
11790,PWRHYDROR,2031,0.669
11791,PWRHYDROR,2032,0.669
11792,PWRHYDROR,2033,0.669
11793,PWRHYDROR,2034,0.669
11794,PWRHYDROR,2035,0.669
11795,PWRHYDROR,2036,0.669
11796,PWRHYDROR,2037,0.669
11797,PWRHYDROR,2038,0.669
11798,PWRHYDROR,2039,0.669
11799,PWRHYDROR,2040,0.669
11800,PWRHYDROR,2041,0.669
11801,PWRHYDROR,2042,0.669
11802,PWRHYDROR,2043,0.669
11803,PWRHYDROR,2044,0.669
11804,PWRHYDROR,2045,0.669
11805,PWRHYDROR,2046,0.669
11806,PWRHYDROR,2047,0.669
11807,PWRHYDROR,2048,0.669
11808,PWRHYDROR,2049,0.669
11809,PWRHYDROR,2050,0.669
11810,PWRHYDROR,2051,0.669
11811,PWRHYDROR,2052,0.669
11812,PWRHYDROR,2053,0.669
11813,PWRHYDROR,2054,0.669
11814,PWRHYDROR_NDC,2022,0.8911269999999994
11815,PWRHYDROR_NDC,2023,0.9301469999999995
11816,PWRHYDROR_NDC,2024,0.9425769999999996
11817,PWRHYDROR_NDC,2025,0.9425769999999996
11818,PWRHYDROR_NDC,2026,0.9815069999999992
11819,PWRHYDROR_NDC,2027,1.0215069999999988
11820,PWRHYDROR_NDC,2028,1.0615069999999986
11821,PWRHYDROR_NDC,2029,1.1015069999999982
11822,PWRHYDROR_NDC,2030,1.1415069999999978
11823,PWRHYDROR_NDC,2031,1.1415069999999978
11824,PWRHYDROR_NDC,2032,1.1415069999999978
11825,PWRHYDROR_NDC,2033,1.1415069999999978
11826,PWRHYDROR_NDC,2034,1.1415069999999978
11827,PWRHYDROR_NDC,2035,1.1415069999999978
11828,PWRHYDROR_NDC,2036,1.1415069999999978
11829,PWRHYDROR_NDC,2037,1.1415069999999978
11830,PWRHYDROR_NDC,2038,1.1415069999999978
11831,PWRHYDROR_NDC,2039,1.1415069999999978
11832,PWRHYDROR_NDC,2040,1.1415069999999978
11833,PWRHYDROR_NDC,2041,1.1415069999999978
11834,PWRHYDROR_NDC,2042,1.1415069999999978
11835,PWRHYDROR_NDC,2043,1.1415069999999978
11836,PWRHYDROR_NDC,2044,1.1415069999999978
11837,PWRHYDROR_NDC,2045,1.1415069999999978
11838,PWRHYDROR_NDC,2046,1.1415069999999978
11839,PWRHYDROR_NDC,2047,1.1415069999999978
11840,PWRHYDROR_NDC,2048,1.1415069999999978
11841,PWRHYDROR_NDC,2049,1.1415069999999978
11842,PWRHYDROR_NDC,2050,1.1415069999999978
11843,PWRHYDROR_NDC,2051,1.1415069999999978
11844,PWRHYDROR_NDC,2052,1.1415069999999978
11845,PWRHYDROR_NDC,2053,1.1415069999999978
11846,PWRHYDROR_NDC,2054,1.1415069999999978
11847,PWRJET,2022,0.05099999999999999
11848,PWRJET,2023,0.049999999999999996
11849,PWRJET,2024,0.049999999999999996
11850,PWRJET,2025,0.049999999999999996
11851,PWRJET,2026,0.049999999999999996
11852,PWRJET,2027,0.049999999999999996
11853,PWRJET,2028,0.049999999999999996
11854,PWRJET,2029,0.049999999999999996
11855,PWRJET,2030,0.049999999999999996
11856,PWRJET,2031,0.049999999999999996
11857,PWRJET,2032,0.049999999999999996
11858,PWRJET,2033,0.049999999999999996
11859,PWRJET,2034,0.049999999999999996
11860,PWRJET,2035,0.049999999999999996
11861,PWRJET,2036,0.049999999999999996
11862,PWRJET,2037,0.049999999999999996
11863,PWRJET,2038,0.049999999999999996
11864,PWRJET,2039,0.049999999999999996
11865,PWRJET,2040,0.049999999999999996
11866,PWRJET,2041,0.049999999999999996
11867,PWRJET,2042,0.049999999999999996
11868,PWRJET,2043,0.049999999999999996
11869,PWRJET,2044,0.049999999999999996
11870,PWRJET,2045,0.049999999999999996
11871,PWRJET,2046,0.049999999999999996
11872,PWRJET,2047,0.049999999999999996
11873,PWRJET,2048,0.049999999999999996
11874,PWRJET,2049,0.049999999999999996
11875,PWRJET,2050,0.049999999999999996
11876,PWRJET,2051,0.049999999999999996
11877,PWRJET,2052,0.049999999999999996
11878,PWRJET,2053,0.049999999999999996
11879,PWRJET,2054,0.049999999999999996
11882,PWRLPG,2024,0.05199999999999999
11883,PWRLPG,2025,0.05199999999999999
11884,PWRLPG,2026,0.05199999999999999
11885,PWRLPG,2027,0.05199999999999999
11886,PWRLPG,2028,0.05199999999999999
11887,PWRLPG,2029,0.05199999999999999
11888,PWRLPG,2030,0.05199999999999999
11889,PWRLPG,2031,0.05199999999999999
11890,PWRLPG,2032,0.05199999999999999
11891,PWRLPG,2033,0.05199999999999999
11892,PWRLPG,2034,0.05199999999999999
11893,PWRLPG,2035,0.05199999999999999
11894,PWRLPG,2036,0.05199999999999999
11895,PWRLPG,2037,0.05199999999999999
11896,PWRLPG,2038,0.05199999999999999
11897,PWRLPG,2039,0.05199999999999999
11898,PWRLPG,2040,0.05199999999999999
11899,PWRLPG,2041,0.05199999999999999
11900,PWRLPG,2042,0.05199999999999999
11901,PWRLPG,2043,0.05199999999999999
11902,PWRLPG,2044,0.05199999999999999
11903,PWRLPG,2045,0.05199999999999999
11904,PWRLPG,2046,0.05199999999999999
11905,PWRLPG,2047,0.05199999999999999
11906,PWRLPG,2048,0.05199999999999999
11907,PWRLPG,2049,0.05199999999999999
11908,PWRLPG,2050,0.05199999999999999
11909,PWRLPG,2051,0.05199999999999999
11910,PWRLPG,2052,0.05199999999999999
11911,PWRLPG,2053,0.05199999999999999
11912,PWRLPG,2054,0.05199999999999999
11946,PWRNGS_CC,2022,1.9819999999999998
11947,PWRNGS_CC,2023,2.2229999999999994
11948,PWRNGS_CC,2024,2.2229999999999994
11949,PWRNGS_CC,2025,2.2229999999999994
11950,PWRNGS_CC,2026,2.2229999999999994
11951,PWRNGS_CC,2027,2.2229999999999994
11952,PWRNGS_CC,2028,2.2229999999999994
11953,PWRNGS_CC,2029,2.2229999999999994
11954,PWRNGS_CC,2030,2.2229999999999994
11955,PWRNGS_CC,2031,2.2229999999999994
11956,PWRNGS_CC,2032,2.2229999999999994
11957,PWRNGS_CC,2033,2.2229999999999994
11958,PWRNGS_CC,2034,2.2229999999999994
11959,PWRNGS_CC,2035,2.2229999999999994
11960,PWRNGS_CC,2036,2.2229999999999994
11961,PWRNGS_CC,2037,2.2229999999999994
11962,PWRNGS_CC,2038,2.2229999999999994
11963,PWRNGS_CC,2039,2.2229999999999994
11964,PWRNGS_CC,2040,2.2229999999999994
11965,PWRNGS_CC,2041,2.2229999999999994
11966,PWRNGS_CC,2042,2.2229999999999994
11967,PWRNGS_CC,2043,2.2229999999999994
11968,PWRNGS_CC,2044,2.2229999999999994
11969,PWRNGS_CC,2045,2.2229999999999994
11970,PWRNGS_CC,2046,2.2229999999999994
11971,PWRNGS_CC,2047,2.2229999999999994
11972,PWRNGS_CC,2048,2.2229999999999994
11973,PWRNGS_CC,2049,2.2229999999999994
11974,PWRNGS_CC,2050,2.2229999999999994
11975,PWRNGS_CC,2051,2.2229999999999994
11976,PWRNGS_CC,2052,2.2229999999999994
11977,PWRNGS_CC,2053,2.2229999999999994
11978,PWRNGS_CC,2054,2.2229999999999994
11979,PWRNGS_CS,2022,0.7599999999999999
11980,PWRNGS_CS,2023,0.7599999999999999
11981,PWRNGS_CS,2024,0.7599999999999999
11982,PWRNGS_CS,2025,0.7599999999999999
11983,PWRNGS_CS,2026,0.7599999999999999
11984,PWRNGS_CS,2027,0.9319999999999998
11985,PWRNGS_CS,2028,0.9319999999999998
11986,PWRNGS_CS,2029,0.9319999999999998
11987,PWRNGS_CS,2030,0.9319999999999998
11988,PWRNGS_CS,2031,0.9319999999999998
11989,PWRNGS_CS,2032,0.9319999999999998
11990,PWRNGS_CS,2033,0.9319999999999998
11991,PWRNGS_CS,2034,0.9319999999999998
11992,PWRNGS_CS,2035,0.9319999999999998
11993,PWRNGS_CS,2036,0.9319999999999998
11994,PWRNGS_CS,2037,0.9319999999999998
11995,PWRNGS_CS,2038,0.9319999999999998
11996,PWRNGS_CS,2039,0.9319999999999998
11997,PWRNGS_CS,2040,0.9319999999999998
11998,PWRNGS_CS,2041,0.9319999999999998
11999,PWRNGS_CS,2042,0.9319999999999998
12000,PWRNGS_CS,2043,0.9319999999999998
12001,PWRNGS_CS,2044,0.9319999999999998
12002,PWRNGS_CS,2045,0.9319999999999998
12003,PWRNGS_CS,2046,0.9319999999999998
12004,PWRNGS_CS,2047,0.9319999999999998
12005,PWRNGS_CS,2048,0.9319999999999998
12006,PWRNGS_CS,2049,0.9319999999999998
12007,PWRNGS_CS,2050,0.9319999999999998
12008,PWRNGS_CS,2051,0.9319999999999998
12009,PWRNGS_CS,2052,0.732
12010,PWRNGS_CS,2053,0.732
12011,PWRNGS_CS,2054,0.732
12046,PWRSOLRTP,2023,1.64e-05
12047,PWRSOLRTP,2024,0.023609299999999996
12048,PWRSOLRTP,2025,0.0501930397176167
12049,PWRSOLRTP,2026,0.0737859397176167
12050,PWRSOLRTP,2027,0.0973788397176167
12051,PWRSOLRTP,2028,0.12097173971761668
12052,PWRSOLRTP,2029,0.1445646397176167
12053,PWRSOLRTP,2030,0.16815753971761668
12054,PWRSOLRTP,2031,0.1917504397176167
12055,PWRSOLRTP,2032,0.2153433397176167
12056,PWRSOLRTP,2033,0.23893623971761668
12057,PWRSOLRTP,2034,0.26252913971761666
12058,PWRSOLRTP,2035,0.2861220397176167
12059,PWRSOLRTP,2036,0.30971493971761666
12060,PWRSOLRTP,2037,0.3333078397176166
12061,PWRSOLRTP,2038,0.35690073971761666
12062,PWRSOLRTP,2039,0.3804936397176167
12063,PWRSOLRTP,2040,2.5698927161075935
12064,PWRSOLRTP,2041,6.959460516690863
12065,PWRSOLRTP,2042,7.877749078915999
12066,PWRSOLRTP,2043,7.901341978915999
12067,PWRSOLRTP,2044,8.081741253547236
12068,PWRSOLRTP,2045,10.546128031122977
12069,PWRSOLRTP,2046,12.080542530815853
12070,PWRSOLRTP,2047,13.703176214759443
12071,PWRSOLRTP,2048,16.54332672473946
12072,PWRSOLRTP,2049,16.56691962473946
12073,PWRSOLRTP,2050,16.587521685021844
12074,PWRSOLRTP,2051,17.51717884159446
12075,PWRSOLRTP,2052,18.53041761881534
12076,PWRSOLRTP,2053,19.375448800082314
12077,PWRSOLRTP,2054,19.99999999999999
12078,PWRSOLRTP_ZNI,2022,0.014609999999999998
12079,PWRSOLRTP_ZNI,2023,0.014609999999999998
12080,PWRSOLRTP_ZNI,2024,0.014609999999999998
12081,PWRSOLRTP_ZNI,2025,0.014609999999999998
12082,PWRSOLRTP_ZNI,2026,0.014609999999999998
12083,PWRSOLRTP_ZNI,2027,0.014609999999999998
12084,PWRSOLRTP_ZNI,2028,0.014609999999999998
12085,PWRSOLRTP_ZNI,2029,0.06659326543882356
12086,PWRSOLRTP_ZNI,2030,0.06672648281799902
12087,PWRSOLRTP_ZNI,2031,0.0672838158169095
12088,PWRSOLRTP_ZNI,2032,0.06965440652091055
12089,PWRSOLRTP_ZNI,2033,0.07204252720225958
12090,PWRSOLRTP_ZNI,2034,0.07444436473159961
