,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR,GRUPO
507225,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2037,0.0,2037,DEMRESELCTV_CRT_RUR,ELC
507226,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2038,0.0,2038,DEMRESELCTV_CRT_RUR,ELC
507227,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2039,0.0,2039,DEMRESELCTV_CRT_RUR,ELC
507228,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2040,0.0,2040,DEMRESELCTV_CRT_RUR,ELC
507229,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2041,0.0,2041,DEMRESELCTV_CRT_RUR,ELC
507230,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2042,0.0,2042,DEMRESELCTV_CRT_RUR,ELC
507231,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2043,0.0,2043,DEMRESELCTV_CRT_RUR,ELC
507232,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2044,0.0,2044,DEMRESELCTV_CRT_RUR,ELC
507233,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2045,0.0,2045,DEMRESELCTV_CRT_RUR,ELC
507234,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2046,0.0,2046,DEMRESELCTV_CRT_RUR,ELC
507235,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2047,0.0,2047,DEMRESELCTV_CRT_RUR,ELC
507236,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2048,0.0,2048,DEMRESELCTV_CRT_RUR,ELC
507237,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2049,0.0,2049,DEMRESELCTV_CRT_RUR,ELC
507238,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2050,0.0,2050,DEMRESELCTV_CRT_RUR,ELC
507239,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2051,0.0,2051,DEMRESELCTV_CRT_RUR,ELC
507240,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2052,0.0,2052,DEMRESELCTV_CRT_RUR,ELC
507241,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2053,0.0,2053,DEMRESELCTV_CRT_RUR,ELC
507242,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2054,0.0,2054,DEMRESELCTV_CRT_RUR,ELC
507243,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2022,0.0,2022,DEMRESELCTV_CRT_RUR,ELC
507244,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2023,0.0,2023,DEMRESELCTV_CRT_RUR,ELC
507245,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2024,0.0,2024,DEMRESELCTV_CRT_RUR,ELC
507246,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2025,0.0,2025,DEMRESELCTV_CRT_RUR,ELC
507247,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2026,0.0,2026,DEMRESELCTV_CRT_RUR,ELC
507248,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2027,0.0,2027,DEMRESELCTV_CRT_RUR,ELC
507249,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2028,0.0,2028,DEMRESELCTV_CRT_RUR,ELC
507250,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2029,0.0,2029,DEMRESELCTV_CRT_RUR,ELC
507251,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2030,0.0,2030,DEMRESELCTV_CRT_RUR,ELC
507252,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2031,0.0,2031,DEMRESELCTV_CRT_RUR,ELC
507253,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2032,0.0,2032,DEMRESELCTV_CRT_RUR,ELC
507254,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2033,0.0,2033,DEMRESELCTV_CRT_RUR,ELC
507255,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2034,0.0,2034,DEMRESELCTV_CRT_RUR,ELC
507256,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2035,0.0,2035,DEMRESELCTV_CRT_RUR,ELC
507257,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2036,0.0,2036,DEMRESELCTV_CRT_RUR,ELC
507258,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2037,0.0,2037,DEMRESELCTV_CRT_RUR,ELC
507259,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2038,0.0,2038,DEMRESELCTV_CRT_RUR,ELC
507260,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2039,0.0,2039,DEMRESELCTV_CRT_RUR,ELC
507261,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2040,0.0,2040,DEMRESELCTV_CRT_RUR,ELC
