,COLOR,TIME,VALUE
2442,DSL,2022,3.46546407001098
2443,DSL,2023,3.923228798716
2444,DSL,2024,4.45195427052406
2445,DSL,2025,4.98476023461956
2446,DSL,2026,5.4529708366771
2447,DSL,2027,5.84147670237048
2448,DSL,2028,6.15149928945582
2449,DSL,2029,6.42057695906834
2450,DSL,2030,6.02940959850567
2451,DSL,2031,5.49656286620864
2452,DSL,2032,4.84850221978196
2453,DSL,2033,4.15570898157719
2454,DSL,2034,3.51912712076907
2455,DSL,2035,3.03063346876119
2456,DSL,2036,2.72839600687755
2457,DSL,2037,2.58375857381259
2458,DSL,2038,2.53273222295821
2459,DSL,2039,2.52016848783655
2460,DSL,2040,2.51813882536966
2461,DSL,2041,2.51793810653418
2462,DSL,2042,2.51792686388126
2463,DSL,2043,2.51792653692157
2464,DSL,2044,2.51792653244199
2465,DSL,2045,2.51792653241604
2466,DSL,2046,2.51792653241599
2467,DSL,2047,2.51792653241599
2468,DSL,2048,2.51792653241599
2469,DSL,2049,2.51792653241599
2470,DSL,2050,1.96683741431399
2471,DSL,2051,1.46134894002558
2472,DSL,2052,0.991431867406316
2473,DSL,2053,0.527611030735534
2474,DSL,2054,2.20949127734593e-68
2475,ELC,2022,0.0004689279462616
2476,ELC,2023,0.0004540322641113
2477,ELC,2024,0.0004052521434046
2478,ELC,2025,0.0004035878658988
2479,ELC,2026,0.0004001945386755
2480,ELC,2027,0.0003927838457305
2481,ELC,2028,0.0003787839107561
2482,ELC,2029,0.000355250156281
2483,ELC,2030,0.0003196430045303
2484,ELC,2031,0.0002711390740656
2485,ELC,2032,0.0002121474604815
2486,ELC,2033,0.0001490839320492
2487,ELC,2034,9.1137208460215e-05
2488,ELC,2035,4.66706467018302e-05
2489,ELC,2036,1.91585987779608e-05
2490,ELC,2037,5.99255388971847e-06
2491,ELC,2038,1.34773123492046e-06
2492,ELC,2039,2.04080541801016e-07
2493,ELC,2040,0.166384464226887
2494,ELC,2041,0.369455407490808
2495,ELC,2042,0.58149900739333
2496,ELC,2043,0.838109681078976
2497,ELC,2044,1.1056099718699
2498,ELC,2045,1.39079132431732
2499,ELC,2046,1.65034767016553
2500,ELC,2047,1.97050735191101
2501,ELC,2048,2.24587353307095
2502,ELC,2049,2.50695907422335
2503,ELC,2050,3.30200503504193
2504,ELC,2051,4.04477911232194
2505,ELC,2052,4.75473288932188
2506,ELC,2053,5.30464014374119
2507,ELC,2054,5.91264202747317
2541,GSL,2022,0.143065807136848
2542,GSL,2023,0.169416570047613
2543,GSL,2024,0.200799550721747
2544,GSL,2025,0.199974913071133
2545,GSL,2026,0.198293543600342
2546,GSL,2027,0.194621598027435
2547,GSL,2028,0.187684729959626
2548,GSL,2029,0.176023922232152
2549,GSL,2030,0.158380832145167
2550,GSL,2031,0.134347480060398
2551,GSL,2032,0.971079371778359
2552,GSL,2033,1.54996931719809
2553,GSL,2034,2.36031493289973
2554,GSL,2035,2.9975745910927
2555,GSL,2036,3.44299696912557
2556,GSL,2037,3.73085053386484
2557,GSL,2038,3.7285490573213
2558,GSL,2039,3.7279823865483
2559,GSL,2040,3.72789084128824
2560,GSL,2041,3.72788178812877
2561,GSL,2042,3.72788128104367
2562,GSL,2043,3.72788126629658
2563,GSL,2044,3.72788126609455
2564,GSL,2045,3.72788126609337
2565,GSL,2046,3.72788126609336
2566,GSL,2047,3.72788126609337
2567,GSL,2048,3.72788126609336
2568,GSL,2049,3.72788126609337
2569,GSL,2050,3.72788126609336
2570,GSL,2051,3.72788126609336
2571,GSL,2052,3.72788126609336
2572,GSL,2053,3.72788126609337
2573,GSL,2054,3.72788126609337
2640,NGS,2022,0.192583180723905
2641,NGS,2023,0.195275126421838
2642,NGS,2024,0.214700173205285
2643,NGS,2025,0.213818448889758
2644,NGS,2026,0.212020684326523
2645,NGS,2027,0.20809454331839
2646,NGS,2028,0.200677461107261
2647,NGS,2029,0.188209418077268
2648,NGS,2030,0.81038458045924
2649,NGS,2031,1.5400560627562
2650,NGS,2032,1.50880265704255
2651,NGS,2033,1.75934117218012
2652,NGS,2034,1.72864134296584
2653,NGS,2035,1.70508322324521
2654,NGS,2036,1.69050750402789
2655,NGS,2037,1.68353221182046
2656,NGS,2038,1.87121263687422
2657,NGS,2039,2.02377405857747
2658,NGS,2040,2.02367617597205
2659,NGS,2041,2.02366649609528
2660,NGS,2042,2.02366595390653
2661,NGS,2043,2.02366593813855
2662,NGS,2044,2.02366593792252
2663,NGS,2045,2.02366593792127
2664,NGS,2046,2.02366593792127
2665,NGS,2047,2.02366593792127
2666,NGS,2048,2.02366593792127
2667,NGS,2049,2.02366593792126
2668,NGS,2050,2.02366593792127
2669,NGS,2051,2.02366593792127
2670,NGS,2052,2.02366593792127
2671,NGS,2053,2.02366593792127
2672,NGS,2054,2.02366593792127
