,COLOR,TIME,VALUE
0,ELC,2022,1.4940481314877934
1,ELC,2023,1.4252571356238601
2,ELC,2024,1.398117730052196
3,ELC,2025,1.4153389454702852
4,ELC,2026,1.446311406901683
5,ELC,2027,1.4701075553025822
6,ELC,2028,1.501463637661069
7,ELC,2029,1.5355313882468191
8,ELC,2030,1.5596450181045796
9,ELC,2031,1.5844105087532598
10,ELC,2032,1.6091217607370598
11,ELC,2033,1.6338635318335237
12,ELC,2034,1.6849515091344982
13,ELC,2035,1.748615668051309
14,ELC,2036,1.8148199236795701
15,ELC,2037,1.884218316666716
16,ELC,2038,1.956408823046893
17,ELC,2039,2.031514311602341
18,ELC,2040,2.1096614877617172
19,ELC,2041,2.19098346609076
20,ELC,2042,2.27723271524779
21,ELC,2043,2.36700632806929
22,ELC,2044,2.4604592024366703
23,ELC,2045,2.557753344830548
24,ELC,2046,2.659058218665421
25,ELC,2047,2.7650541148679197
26,ELC,2048,2.8752134946658963
27,ELC,2049,2.989684932690366
28,ELC,2050,3.1086381074842597
29,ELC,2051,3.2324472499516927
30,ELC,2052,3.361324525765912
31,ELC,2053,3.4954895282697978
32,ELC,2054,3.634407875948191
