REGION,TECHNOLOGY,VALUE
RE1,DEMRESELCILU_LFC_URB,9999999.0
RE1,DEMRESELCILU_LOW_RUR,9999999.0
RE1,DEMRESELCILU_LOW_URB,9999999.0
RE1,DEMRESELCILU_MID_RUR,9999999.0
RE1,DEMRESELCILU_MID_URB,9999999.0
RE1,DEMRESELCOTH_HIG_RUR,9999999.0
RE1,DEMRESELCOTH_HIG_URB,9999999.0
RE1,DEMRESELCOTH_LOW_RUR,9999999.0
RE1,DEMRESELCOTH_LOW_URB,9999999.0
RE1,DEMRESELCOTH_MID_RUR,9999999.0
RE1,DEMRESELCOTH_MID_URB,9999999.0
RE1,DEMRESELCREF_HIG_RUR,9999999.0
RE1,DEMRESELCREF_HIG_URB,9999999.0
RE1,DEMRESELCREF_LOW_RUR,9999999.0
RE1,DEMRESELCREF_LOW_URB,9999999.0
RE1,DEMRESELCREF_MID_RUR,9999999.0
RE1,DEMRESELCREF_MID_URB,9999999.0
RE1,DEMRESELCTV_CRT_RUR,9999999.0
RE1,DEMRESELCTV_CRT_URB,9999999.0
RE1,DEMRESELCTV_HIG_RUR,9999999.0
RE1,DEMRESELCTV_HIG_URB,9999999.0
RE1,DEMRESELCTV_LOW_RUR,9999999.0
RE1,DEMRESELCTV_LOW_URB,9999999.0
RE1,DEMRESELCTV_MID_RUR,9999999.0
RE1,DEMRESELCTV_MID_URB,9999999.0
RE1,DEMRESELCWHT_DUC_HIG_RUR,9999999.0
RE1,DEMRESELCWHT_DUC_HIG_URB,9999999.0
RE1,DEMRESELCWHT_DUC_LOW_RUR,9999999.0
RE1,DEMRESELCWHT_DUC_LOW_URB,9999999.0
RE1,DEMRESELCWHT_DUC_MID_RUR,9999999.0
RE1,DEMRESELCWHT_DUC_MID_URB,9999999.0
RE1,DEMRESELCWHT_PAS_HIG_RUR,9999999.0
RE1,DEMRESELCWHT_PAS_HIG_URB,9999999.0
RE1,DEMRESELCWHT_PAS_LOW_RUR,9999999.0
RE1,DEMRESELCWHT_PAS_LOW_URB,9999999.0
RE1,DEMRESELCWHT_PAS_MID_RUR,9999999.0
RE1,DEMRESELCWHT_PAS_MID_URB,9999999.0
RE1,DEMRESELCWHT_TAN_HIG_RUR,9999999.0
RE1,DEMRESELCWHT_TAN_HIG_URB,9999999.0
RE1,DEMRESELCWHT_TAN_LOW_RUR,9999999.0
RE1,DEMRESELCWHT_TAN_LOW_URB,9999999.0
RE1,DEMRESELCWHT_TAN_MID_RUR,9999999.0
RE1,DEMRESELCWHT_TAN_MID_URB,9999999.0
RE1,DEMRESELCWSH_HIG_RUR,9999999.0
RE1,DEMRESELCWSH_HIG_URB,9999999.0
RE1,DEMRESELCWSH_LOW_RUR,9999999.0
RE1,DEMRESELCWSH_LOW_URB,9999999.0
RE1,DEMRESELCWSH_MID_RUR,9999999.0
RE1,DEMRESELCWSH_MID_URB,9999999.0
RE1,DEMRESLPGCKN_HIG_RUR,9999999.0
RE1,DEMRESLPGCKN_HIG_URB,9999999.0
RE1,DEMRESLPGCKN_LOW_RUR,9999999.0
RE1,DEMRESLPGCKN_LOW_URB,9999999.0
RE1,DEMRESLPGCKN_MID_RUR,9999999.0
RE1,DEMRESLPGCKN_MID_URB,9999999.0
RE1,DEMRESNGSCKN_HIG_RUR,9999999.0
RE1,DEMRESNGSCKN_HIG_URB,9999999.0
RE1,DEMRESNGSCKN_LOW_RUR,9999999.0
RE1,DEMRESNGSCKN_LOW_URB,9999999.0
RE1,DEMRESNGSCKN_MID_RUR,9999999.0
RE1,DEMRESNGSCKN_MID_URB,9999999.0
RE1,DEMRESNGSWHT_FOR_HIG_RUR,9999999.0
RE1,DEMRESNGSWHT_FOR_HIG_URB,9999999.0
RE1,DEMRESNGSWHT_FOR_LOW_RUR,9999999.0
RE1,DEMRESNGSWHT_FOR_LOW_URB,9999999.0
RE1,DEMRESNGSWHT_FOR_MID_RUR,9999999.0
RE1,DEMRESNGSWHT_FOR_MID_URB,9999999.0
RE1,DEMRESNGSWHT_NAT_HIG_RUR,9999999.0
RE1,DEMRESNGSWHT_NAT_HIG_URB,9999999.0
RE1,DEMRESNGSWHT_NAT_LOW_RUR,9999999.0
RE1,DEMRESNGSWHT_NAT_LOW_URB,9999999.0
RE1,DEMRESWOOCKN_HIG_RUR,9999999.0
RE1,DEMRESWOOCKN_HIG_URB,9999999.0
RE1,DEMRESWOOCKN_LOW_RUR,9999999.0
RE1,DEMRESWOOCKN_LOW_URB,9999999.0
RE1,DEMRESWOOCKN_MID_RUR,9999999.0
RE1,DEMRESWOOCKN_MID_URB,9999999.0
RE1,DEMRESZNIBGSCKN_MID,9999999.0
RE1,DEMRESZNIELC_LOW,9999999.0
RE1,DEMRESZNIELCCKN_LOW,9999999.0
RE1,DEMRESZNILPGCKN_MID,9999999.0
RE1,DEMRESZNIWOOCKN_LOW,9999999.0
RE1,DEMTERBGSCKN_HIG,9999999.0
RE1,DEMTERBGSCKN_LOW,9999999.0
RE1,DEMTERBGSCKN_MID,9999999.0
RE1,DEMTERELCACL_HIG,9999999.0
RE1,DEMTERELCACL_LOW,9999999.0
RE1,DEMTERELCACL_MID,9999999.0
RE1,DEMTERELCAIR_CEN_HIG,9999999.0
RE1,DEMTERELCAIR_CEN_LOW,9999999.0
RE1,DEMTERELCAIR_CEN_MID,9999999.0
RE1,DEMTERELCAIR_SPL_HIG,9999999.0
RE1,DEMTERELCAIR_SPL_LOW,9999999.0
RE1,DEMTERELCAIR_SPL_MID,9999999.0
RE1,DEMTERELCCKN_HIG,9999999.0
RE1,DEMTERELCCKN_LOW,9999999.0
RE1,DEMTERELCCKN_MID,9999999.0
RE1,DEMTERELCDATA,9999999.0
RE1,DEMTERELCFAN_HIG,9999999.0
RE1,DEMTERELCFAN_LOW,9999999.0
RE1,DEMTERELCFAN_MID,9999999.0
RE1,DEMTERELCILU_CIA,9999999.0
RE1,DEMTERELCILU_HAL,9999999.0
RE1,DEMTERELCILU_HIG,9999999.0
RE1,DEMTERELCILU_LFC,9999999.0
RE1,DEMTERELCILU_LOW,9999999.0
RE1,DEMTERELCILU_MID,9999999.0
RE1,DEMTERELCILU_VAP,9999999.0
RE1,DEMTERELCMPW_HIG,9999999.0
RE1,DEMTERELCMPW_LOW,9999999.0
RE1,DEMTERELCMPW_MID,9999999.0
RE1,DEMTERELCOTH_HIG,9999999.0
RE1,DEMTERELCOTH_LOW,9999999.0
RE1,DEMTERELCOTH_MID,9999999.0
RE1,DEMTERELCREF_AUC_HIG,9999999.0
RE1,DEMTERELCREF_AUC_LOW,9999999.0
RE1,DEMTERELCREF_AUC_MID,9999999.0
RE1,DEMTERELCREF_CEN_HIG,9999999.0
RE1,DEMTERELCREF_CEN_LOW,9999999.0
RE1,DEMTERELCREF_CEN_MID,9999999.0
RE1,DEMTERLPGCKN_HIG,9999999.0
RE1,DEMTERLPGCKN_LOW,9999999.0
RE1,DEMTERLPGCKN_MID,9999999.0
RE1,DEMTERNGSCKN_HIG,9999999.0
RE1,DEMTERNGSCKN_LOW,9999999.0
RE1,DEMTRADSLBOT,9999999.0
RE1,DEMTRADSLBUS_ART,9999999.0
RE1,DEMTRADSLBUS_BIA,9999999.0
RE1,"DEMTRADSLBUS_IMU
",9999999.0
RE1,DEMTRADSLBUS_URB,9999999.0
RE1,DEMTRADSLFWD,9999999.0
RE1,DEMTRADSLLDV,9999999.0
RE1,DEMTRADSLMIC,9999999.0
RE1,DEMTRADSLSHP,9999999.0
RE1,DEMTRADSLSTT,9999999.0
RE1,DEMTRADSLTAX,9999999.0
RE1,DEMTRADSLTCK_C2P,9999999.0
RE1,DEMTRADSLTCK_CSG,9999999.0
RE1,DEMTRAELCBOT,9999999.0
RE1,DEMTRAELCBUS_ART,9999999.0
RE1,DEMTRAELCBUS_BIA,9999999.0
RE1,"DEMTRAELCBUS_IMU
",9999999.0
RE1,DEMTRAELCBUS_URB,9999999.0
RE1,DEMTRAELCFWD,9999999.0
RE1,DEMTRAELCLDV,9999999.0
RE1,DEMTRAELCMET,9999999.0
RE1,DEMTRAELCMIC,9999999.0
RE1,DEMTRAELCMOT,9999999.0
RE1,DEMTRAELCSTT,9999999.0
RE1,DEMTRAELCTAX,9999999.0
RE1,DEMTRAELCTCK_C2P,9999999.0
RE1,DEMTRAELCTCK_CSG,9999999.0
RE1,DEMTRAFOLSHP,9999999.0
RE1,DEMTRAGSLBOT,9999999.0
RE1,"DEMTRAGSLBUS_IMU
",9999999.0
RE1,DEMTRAGSLFWD,9999999.0
RE1,DEMTRAGSLLDV,9999999.0
RE1,DEMTRAGSLMIC,9999999.0
RE1,DEMTRAGSLMOT,9999999.0
RE1,DEMTRAGSLSTT,9999999.0
RE1,DEMTRAGSLTAX,9999999.0
RE1,DEMTRAGSLTCK_C2P,9999999.0
RE1,"DEMTRAHDGBUS_IMU
",9999999.0
RE1,DEMTRAHDGBUS_URB,9999999.0
RE1,DEMTRAHDGFWD,9999999.0
RE1,DEMTRAHDGLDV,9999999.0
RE1,DEMTRAHDGMIC,9999999.0
RE1,DEMTRAHDGSTT,9999999.0
RE1,DEMTRAHDGTAX,9999999.0
RE1,DEMTRAHDGTCK_CSG,9999999.0
