REGION,TECHNOLOGY,VALUE
RE1,DEMRESELCOTH_MID_URB,5.0
RE1,DEMRESELCREF_HIG_RUR,15.0
RE1,DEMRESELCREF_HIG_URB,15.0
RE1,DEMRESELCREF_LOW_RUR,15.0
RE1,DEMRESELCREF_LOW_URB,15.0
RE1,DEMRESELCREF_MID_RUR,15.0
RE1,DEMRESELCREF_MID_URB,15.0
RE1,DEMRESELCTV_CRT_RUR,5.0
RE1,DEMRESELCTV_CRT_URB,5.0
RE1,DEMRESELCTV_HIG_RUR,5.0
RE1,DEMRESELCTV_HIG_URB,5.0
RE1,DEMRESELCTV_LOW_RUR,5.0
RE1,DEMRESELCTV_LOW_URB,5.0
RE1,DEMRESELCTV_MID_RUR,5.0
RE1,DEMRESELCTV_MID_URB,5.0
RE1,DEMRESELCWHT_DUC_HIG_RUR,3.0
RE1,DEMRESELCWHT_DUC_HIG_URB,3.0
RE1,DEMRESELCWHT_DUC_LOW_RUR,3.0
RE1,DEMRESELCWHT_DUC_LOW_URB,3.0
RE1,DEMRESELCWHT_DUC_MID_RUR,3.0
RE1,DEMRESELCWHT_DUC_MID_URB,3.0
RE1,DEMRESELCWHT_PAS_HIG_RUR,10.0
RE1,DEMRESELCWHT_PAS_HIG_URB,10.0
RE1,DEMRESELCWHT_PAS_LOW_RUR,10.0
RE1,DEMRESELCWHT_PAS_LOW_URB,10.0
RE1,DEMRESELCWHT_PAS_MID_RUR,10.0
RE1,DEMRESELCWHT_PAS_MID_URB,10.0
RE1,DEMRESELCWHT_TAN_HIG_RUR,10.0
RE1,DEMRESELCWHT_TAN_HIG_URB,10.0
RE1,DEMRESELCWHT_TAN_LOW_RUR,10.0
RE1,DEMRESELCWHT_TAN_LOW_URB,10.0
RE1,DEMRESELCWHT_TAN_MID_RUR,10.0
RE1,DEMRESELCWHT_TAN_MID_URB,10.0
RE1,DEMRESELCWSH_HIG_RUR,10.0
RE1,DEMRESELCWSH_HIG_URB,10.0
RE1,DEMRESELCWSH_LOW_RUR,10.0
RE1,DEMRESELCWSH_LOW_URB,10.0
RE1,DEMRESELCWSH_MID_RUR,10.0
RE1,DEMRESELCWSH_MID_URB,10.0
RE1,DEMRESLPGCKN_HIG_RUR,20.0
RE1,DEMRESLPGCKN_HIG_URB,15.0
RE1,DEMRESLPGCKN_LOW_RUR,20.0
RE1,DEMRESLPGCKN_LOW_URB,20.0
RE1,DEMRESLPGCKN_MID_RUR,20.0
RE1,DEMRESLPGCKN_MID_URB,20.0
RE1,DEMRESNGSCKN_HIG_RUR,20.0
RE1,DEMRESNGSCKN_HIG_URB,20.0
RE1,DEMRESNGSCKN_LOW_RUR,20.0
RE1,DEMRESNGSCKN_LOW_URB,20.0
RE1,DEMRESNGSCKN_MID_RUR,20.0
RE1,DEMRESNGSCKN_MID_URB,20.0
RE1,DEMRESNGSWHT_FOR_HIG_RUR,10.0
RE1,DEMRESNGSWHT_FOR_HIG_URB,10.0
