REGION,FUEL,YEAR,VALUE
RE1,ELC,2026,0.0
RE1,ELC,2027,0.0
RE1,ELC,2028,0.0
RE1,ELC,2029,0.0
RE1,ELC,2030,0.0
RE1,ELC,2031,0.0
RE1,ELC,2032,0.0
RE1,ELC,2033,0.0
RE1,ELC,2034,0.0
RE1,ELC,2035,0.0
RE1,ELC,2036,0.0
RE1,ELC,2037,0.0
RE1,ELC,2038,0.0
RE1,ELC,2039,0.0
RE1,ELC,2040,0.0
RE1,ELC,2041,0.0
RE1,ELC,2042,0.0
RE1,ELC,2043,0.0
RE1,ELC,2044,0.0
RE1,ELC,2045,0.0
RE1,ELC,2046,0.0
RE1,ELC,2047,0.0
RE1,ELC,2048,0.0
RE1,ELC,2049,0.0
RE1,ELC,2050,0.0
RE1,ELC,2051,0.0
RE1,ELC,2052,0.0
RE1,ELC,2053,0.0
RE1,ELC,2054,0.0
RE1,ELC002,2022,0.0
RE1,ELC002,2023,0.0
RE1,ELC002,2024,0.0
RE1,ELC002,2025,0.0
RE1,ELC002,2026,0.0
RE1,ELC002,2027,0.0
RE1,ELC002,2028,0.0
RE1,ELC002,2029,0.0
RE1,ELC002,2030,0.0
RE1,ELC002,2031,0.0
RE1,ELC002,2032,0.0
RE1,ELC002,2033,0.0
RE1,ELC002,2034,0.0
RE1,ELC002,2035,0.0
RE1,ELC002,2036,0.0
RE1,ELC002,2037,0.0
RE1,ELC002,2038,0.0
RE1,ELC002,2039,0.0
RE1,ELC002,2040,0.0
RE1,ELC002,2041,0.0
RE1,ELC002,2042,0.0
RE1,ELC002,2043,0.0
RE1,ELC002,2044,0.0
RE1,ELC002,2045,0.0
RE1,ELC002,2046,0.0
RE1,ELC002,2047,0.0
RE1,ELC002,2048,0.0
RE1,ELC002,2049,0.0
RE1,ELC002,2050,0.0
RE1,ELC002,2051,0.0
RE1,ELC002,2052,0.0
RE1,ELC002,2053,0.0
RE1,ELC002,2054,0.0
RE1,INDDHT,2022,52.475806263376015
RE1,INDDHT,2023,52.78195285061921
RE1,INDDHT,2024,51.56636556636519
RE1,INDDHT,2025,52.08948179541881
RE1,INDDHT,2026,53.15067162835373
RE1,INDDHT,2027,53.94526427046279
RE1,INDDHT,2028,55.01436798188432
RE1,INDDHT,2029,56.17936871115277
RE1,INDDHT,2030,56.9771151884112
RE1,INDDHT,2031,57.79592176281356
RE1,INDDHT,2032,58.61013964474074
RE1,INDDHT,2033,59.42285764509147
RE1,INDDHT,2034,61.18973397507809
RE1,INDDHT,2035,63.40717293976476
RE1,INDDHT,2036,65.70953419115986
RE1,INDDHT,2037,68.12025925048391
RE1,INDDHT,2038,70.62431894287971
RE1,INDDHT,2039,73.22569109132856
RE1,INDDHT,2040,75.92846518584267
RE1,INDDHT,2041,78.73665127973595
RE1,INDDHT,2042,81.71288086460869
RE1,INDDHT,2043,84.80609213768805
