REGION,TECHNOLOGY,YEAR,VALUE
RE1,DEMCONSDSL,2046,0.0
RE1,DEMCONSDSL,2047,0.0
RE1,DEMCONSDSL,2048,0.0
RE1,DEMCONSDSL,2049,0.0
RE1,DEMCONSDSL,2050,0.0
RE1,DEMCONSDSL,2051,0.0
RE1,DEMCONSDSL,2052,0.0
RE1,DEMCONSDSL,2053,0.0
RE1,DEMCONSDSL,2054,0.0
RE1,DEMCONSELC,2022,0.0
RE1,DEMCONSELC,2023,0.0
RE1,DEMCONSELC,2024,0.0
RE1,DEMCONSELC,2025,0.0
RE1,DEMCONSELC,2026,0.0
RE1,DEMCONSELC,2027,0.0
RE1,DEMCONSELC,2028,0.0
RE1,DEMCONSELC,2029,0.0
RE1,DEMCONSELC,2030,0.0
RE1,DEMCONSELC,2031,0.0
RE1,DEMCONSELC,2032,0.0
RE1,DEMCONSELC,2033,0.0
RE1,DEMCONSELC,2034,0.0
RE1,DEMCONSELC,2035,0.0
RE1,DEMCONSELC,2036,0.0
RE1,DEMCONSELC,2037,0.0
RE1,DEMCONSELC,2038,0.0
RE1,DEMCONSELC,2039,0.0
RE1,DEMCONSELC,2040,0.0
RE1,DEMCONSELC,2041,0.0
RE1,DEMCONSELC,2042,0.0
RE1,DEMCONSELC,2043,0.0
RE1,DEMCONSELC,2044,0.0
RE1,DEMCONSELC,2045,0.0
RE1,DEMCONSELC,2046,0.0
RE1,DEMCONSELC,2047,0.0
RE1,DEMCONSELC,2048,0.0
RE1,DEMCONSELC,2049,0.0
RE1,DEMCONSELC,2050,0.0
RE1,DEMCONSELC,2051,0.0
RE1,DEMCONSELC,2052,0.0
RE1,DEMCONSELC,2053,0.0
RE1,DEMCONSELC,2054,0.0
RE1,DEMCONSNGS,2022,0.0
RE1,DEMCONSNGS,2023,0.0
RE1,DEMCONSNGS,2024,0.0
RE1,DEMCONSNGS,2025,0.0
RE1,DEMCONSNGS,2026,0.0
RE1,DEMCONSNGS,2027,0.0
RE1,DEMCONSNGS,2028,0.0
RE1,DEMCONSNGS,2029,0.0
RE1,DEMCONSNGS,2030,0.0
RE1,DEMCONSNGS,2031,0.0
RE1,DEMCONSNGS,2032,0.0
RE1,DEMCONSNGS,2033,0.0
RE1,DEMCONSNGS,2034,0.0
RE1,DEMCONSNGS,2035,0.0
RE1,DEMCONSNGS,2036,0.0
RE1,DEMCONSNGS,2037,0.0
RE1,DEMCONSNGS,2038,0.0
RE1,DEMCONSNGS,2039,0.0
RE1,DEMCONSNGS,2040,0.0
RE1,DEMCONSNGS,2041,0.0
RE1,DEMCONSNGS,2042,0.0
RE1,DEMCONSNGS,2043,0.0
RE1,DEMCONSNGS,2044,0.0
RE1,DEMCONSNGS,2045,0.0
RE1,DEMCONSNGS,2046,0.0
RE1,DEMCONSNGS,2047,0.0
RE1,DEMCONSNGS,2048,0.0
RE1,DEMCONSNGS,2049,0.0
RE1,DEMCONSNGS,2050,0.0
RE1,DEMCONSNGS,2051,0.0
RE1,DEMCONSNGS,2052,0.0
RE1,DEMCONSNGS,2053,0.0
RE1,DEMCONSNGS,2054,0.0
RE1,DEMCOQDSL,2022,9999999.0
RE1,DEMCOQDSL,2023,9999999.0
RE1,DEMCOQDSL,2024,9999999.0
RE1,DEMCOQDSL,2025,9999999.0
RE1,DEMCOQDSL,2026,9999999.0
RE1,DEMCOQDSL,2027,9999999.0
RE1,DEMCOQDSL,2028,9999999.0
RE1,DEMCOQDSL,2029,9999999.0
RE1,DEMCOQDSL,2030,9999999.0
RE1,DEMCOQDSL,2031,9999999.0
RE1,DEMCOQDSL,2032,9999999.0
RE1,DEMCOQDSL,2033,9999999.0
RE1,DEMCOQDSL,2034,9999999.0
RE1,DEMCOQDSL,2035,9999999.0
RE1,DEMCOQDSL,2036,9999999.0
RE1,DEMCOQDSL,2037,9999999.0
RE1,DEMCOQDSL,2038,9999999.0
RE1,DEMCOQDSL,2039,9999999.0
RE1,DEMCOQDSL,2040,9999999.0
RE1,DEMCOQDSL,2041,9999999.0
RE1,DEMCOQDSL,2042,9999999.0
RE1,DEMCOQDSL,2043,9999999.0
RE1,DEMCOQDSL,2044,9999999.0
RE1,DEMCOQDSL,2045,9999999.0
RE1,DEMCOQDSL,2046,9999999.0
RE1,DEMCOQDSL,2047,9999999.0
RE1,DEMCOQDSL,2048,9999999.0
RE1,DEMCOQDSL,2049,9999999.0
RE1,DEMCOQDSL,2050,9999999.0
RE1,DEMCOQDSL,2051,9999999.0
RE1,DEMCOQDSL,2052,9999999.0
RE1,DEMCOQDSL,2053,9999999.0
RE1,DEMCOQDSL,2054,9999999.0
RE1,DEMCOQGSL,2022,9999999.0
RE1,DEMCOQGSL,2023,9999999.0
RE1,DEMCOQGSL,2024,9999999.0
RE1,DEMCOQGSL,2025,9999999.0
RE1,DEMCOQGSL,2026,9999999.0
RE1,DEMCOQGSL,2027,9999999.0
RE1,DEMCOQGSL,2028,9999999.0
RE1,DEMCOQGSL,2029,9999999.0
RE1,DEMCOQGSL,2030,9999999.0
RE1,DEMCOQGSL,2031,9999999.0
RE1,DEMCOQGSL,2032,9999999.0
RE1,DEMCOQGSL,2033,9999999.0
RE1,DEMCOQGSL,2034,9999999.0
RE1,DEMCOQGSL,2035,9999999.0
RE1,DEMCOQGSL,2036,9999999.0
RE1,DEMCOQGSL,2037,9999999.0
RE1,DEMCOQGSL,2038,9999999.0
RE1,DEMCOQGSL,2039,9999999.0
RE1,DEMCOQGSL,2040,9999999.0
RE1,DEMCOQGSL,2041,9999999.0
RE1,DEMCOQGSL,2042,9999999.0
RE1,DEMCOQGSL,2043,9999999.0
RE1,DEMCOQGSL,2044,9999999.0
RE1,DEMCOQGSL,2045,9999999.0
RE1,DEMCOQGSL,2046,9999999.0
RE1,DEMCOQGSL,2047,9999999.0
RE1,DEMCOQGSL,2048,9999999.0
RE1,DEMCOQGSL,2049,9999999.0
RE1,DEMCOQGSL,2050,9999999.0
RE1,DEMCOQGSL,2051,9999999.0
RE1,DEMCOQGSL,2052,9999999.0
RE1,DEMCOQGSL,2053,9999999.0
RE1,DEMCOQGSL,2054,9999999.0
RE1,DEMINDAUTBOI,2022,0.0
RE1,DEMINDAUTBOI,2023,0.0
RE1,DEMINDAUTBOI,2024,0.0
RE1,DEMINDAUTBOI,2025,0.0
RE1,DEMINDAUTBOI,2026,0.0
RE1,DEMINDAUTBOI,2027,0.0
RE1,DEMINDAUTBOI,2028,0.0
RE1,DEMINDAUTBOI,2029,0.0
RE1,DEMINDAUTBOI,2030,0.0
RE1,DEMINDAUTBOI,2031,0.0
RE1,DEMINDAUTBOI,2032,0.0
RE1,DEMINDAUTBOI,2033,0.0
RE1,DEMINDAUTBOI,2034,0.0
RE1,DEMINDAUTBOI,2035,0.0
RE1,DEMINDAUTBOI,2036,0.0
RE1,DEMINDAUTBOI,2037,0.0
RE1,DEMINDAUTBOI,2038,0.0
RE1,DEMINDAUTBOI,2039,0.0
RE1,DEMINDAUTBOI,2040,0.0
RE1,DEMINDAUTBOI,2041,0.0
RE1,DEMINDAUTBOI,2042,0.0
RE1,DEMINDAUTBOI,2043,0.0
RE1,DEMINDAUTBOI,2044,0.0
RE1,DEMINDAUTBOI,2045,0.0
RE1,DEMINDAUTBOI,2046,0.0
RE1,DEMINDAUTBOI,2047,0.0
RE1,DEMINDAUTBOI,2048,0.0
RE1,DEMINDAUTBOI,2049,0.0
RE1,DEMINDAUTBOI,2050,0.0
RE1,DEMINDAUTBOI,2051,0.0
RE1,DEMINDAUTBOI,2052,0.0
RE1,DEMINDAUTBOI,2053,0.0
RE1,DEMINDAUTBOI,2054,0.0
RE1,DEMINDAUTFUR,2022,0.0
RE1,DEMINDAUTFUR,2023,0.0
RE1,DEMINDAUTFUR,2024,0.0
RE1,DEMINDAUTFUR,2025,0.0
RE1,DEMINDAUTFUR,2026,0.0
RE1,DEMINDAUTFUR,2027,0.0
RE1,DEMINDAUTFUR,2028,0.0
RE1,DEMINDAUTFUR,2029,0.0
RE1,DEMINDAUTFUR,2030,0.0
RE1,DEMINDAUTFUR,2031,0.0
RE1,DEMINDAUTFUR,2032,0.0
RE1,DEMINDAUTFUR,2033,0.0
RE1,DEMINDAUTFUR,2034,0.0
RE1,DEMINDAUTFUR,2035,0.0
RE1,DEMINDAUTFUR,2036,0.0
RE1,DEMINDAUTFUR,2037,0.0
RE1,DEMINDAUTFUR,2038,0.0
RE1,DEMINDAUTFUR,2039,0.0
RE1,DEMINDAUTFUR,2040,0.0
RE1,DEMINDAUTFUR,2041,0.0
RE1,DEMINDAUTFUR,2042,0.0
RE1,DEMINDAUTFUR,2043,0.0
RE1,DEMINDAUTFUR,2044,0.0
RE1,DEMINDAUTFUR,2045,0.0
RE1,DEMINDAUTFUR,2046,0.0
RE1,DEMINDAUTFUR,2047,0.0
RE1,DEMINDAUTFUR,2048,0.0
RE1,DEMINDAUTFUR,2049,0.0
RE1,DEMINDAUTFUR,2050,0.0
